trade_id,entry_unix,entry_et,entry_time_et,entry_price,entry_session_id,exit_unix,exit_et,exit_time_et,exit_price,exit_session_id,direction,bars_held,minutes_held,stop_price_at_entry,max_adverse_excursion_usd,point_value_usd,loss_cap_usd,exit_reason,pnl_pct,trade_profit_pct,pnl_usd,trade_profit_usd,cumulative_pnl_pct,cumulative_pnl_usd,result,updated_at_utc
1774317600|SHORT,1774317600,2026-03-23 22:00:00 ET,2026-03-23 22:00:00 ET,24263.75,,1774334700,2026-03-24 02:45:00 ET,2026-03-24 02:45:00 ET,24353.75,,SHORT,55,,,,,,,-0.39668587317631676,-0.39668587317631676,-198.34293658815838,-198.34293658815838,63.890390545419784,31945.19527270991,LOSS,2026-03-30T02:38:12.518329+00:00
1774334400|LONG,1774334400,2026-03-24 02:40:00 ET,2026-03-24 02:40:00 ET,24353.75,,1774342500,2026-03-24 04:55:00 ET,2026-03-24 04:55:00 ET,24388.5,,LONG,26,,,,,,,0.11765976262227973,0.11765976262227973,58.829881311139864,58.829881311139864,64.00805030804206,32004.02515402105,WIN,2026-03-30T02:38:12.518344+00:00
1774342200|SHORT,1774342200,2026-03-24 04:50:00 ET,2026-03-24 04:50:00 ET,24388.5,,1774359000,2026-03-24 09:30:00 ET,2026-03-24 09:30:00 ET,24255.5,,SHORT,55,,,,,,,0.5184316807647749,0.5184316807647749,259.21584038238746,259.21584038238746,64.52648198880684,32263.240994403437,WIN,2026-03-30T02:38:12.518367+00:00
1774394100|SHORT,1774394100,2026-03-24 19:15:00 ET,2026-03-24 19:15:00 ET,24428.0,,1774398900,2026-03-24 20:35:00 ET,2026-03-24 20:35:00 ET,24467.75,,SHORT,15,,,,,,,-0.18807194854393305,-0.18807194854393305,-94.03597427196652,-94.03597427196652,64.3384100402629,32169.20502013147,LOSS,2026-03-30T01:44:45.482608+00:00
1774398600|LONG,1774398600,2026-03-24 20:30:00 ET,2026-03-24 20:30:00 ET,24467.75,,1774405200,2026-03-24 22:20:00 ET,2026-03-24 22:20:00 ET,24366.75,,LONG,21,,,,,,,-0.43767031950902036,-0.43767031950902036,-218.8351597545102,-218.8351597545102,63.90073972075388,31950.36986037696,LOSS,2026-03-30T02:38:12.518404+00:00
1774404900|SHORT,1774404900,2026-03-24 22:15:00 ET,2026-03-24 22:15:00 ET,24366.75,,1774422000,2026-03-25 03:00:00 ET,2026-03-25 03:00:00 ET,24378.0,,SHORT,55,,,,,,,-0.07208337335579129,-0.07208337335579129,-36.04168667789565,-36.04168667789565,63.828656347398095,31914.328173699065,LOSS,2026-03-30T02:38:12.518428+00:00
1774407000|SHORT,1774407000,2026-03-24 22:50:00 ET,2026-03-24 22:50:00 ET,24352.0,2026-03-25,1774409100,2026-03-24 23:25:00 ET,2026-03-24 23:25:00 ET,24339.5,2026-03-25,SHORT,7,35.0,24377.0,-85.0,20.0,500.0,signal_flat,0.5,0.5,250.0,250.0,64.3286563473981,32164.328173699065,WIN,2026-03-30T04:16:29.562966+00:00
1774425900|LONG,1774425900,2026-03-25 04:05:00 ET,2026-03-25 04:05:00 ET,24479.5,,1774442700,2026-03-25 08:45:00 ET,2026-03-25 08:45:00 ET,24427.25,,LONG,55,,,,,,,-0.2383717022690801,-0.2383717022690801,-119.18585113454006,-119.18585113454006,64.09028464512902,32045.142322564523,LOSS,2026-03-30T02:38:12.518455+00:00
1774460400|LONG,1774460400,2026-03-25 13:40:00 ET,2026-03-25 13:40:00 ET,24468.75,,1774461600,2026-03-25 14:00:00 ET,2026-03-25 14:00:00 ET,24427.75,,LONG,3,,,,,,,-0.19255375789373197,-0.19255375789373197,-96.27687894686599,-96.27687894686599,63.897730887235284,31948.86544361766,LOSS,2026-03-30T02:38:12.518474+00:00
1774492500|SHORT,1774492500,2026-03-25 22:35:00 ET,2026-03-25 22:35:00 ET,24258.75,2026-03-26,1774492800,2026-03-25 22:40:00 ET,2026-03-25 22:40:00 ET,24283.75,2026-03-26,SHORT,1,5.0,24283.75,-505.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,62.897730887235284,31448.86544361766,LOSS,2026-03-30T04:16:29.563229+00:00
1774492800|SHORT,1774492800,2026-03-25 22:40:00 ET,2026-03-25 22:40:00 ET,24283.25,2026-03-26,1774494600,2026-03-25 23:10:00 ET,2026-03-25 23:10:00 ET,24308.25,2026-03-26,SHORT,6,30.0,24308.25,-660.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,61.897730887235284,30948.86544361766,LOSS,2026-03-30T04:16:29.563269+00:00
1774502400|SHORT,1774502400,2026-03-26 01:20:00 ET,2026-03-26 01:20:00 ET,24290.75,,1774519200,2026-03-26 06:00:00 ET,2026-03-26 06:00:00 ET,24155.0,,SHORT,55,,,,,,,0.5350739319123221,0.5350739319123221,267.53696595616105,267.53696595616105,62.432804819147606,31216.40240957382,WIN,2026-03-30T02:38:12.518531+00:00
1774504500|SHORT,1774504500,2026-03-26 01:55:00 ET,2026-03-26 01:55:00 ET,24255.75,2026-03-26,1774506300,2026-03-26 02:25:00 ET,2026-03-26 02:25:00 ET,24280.75,2026-03-26,SHORT,6,30.0,24280.75,-630.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,61.432804819147606,30716.40240957382,LOSS,2026-03-30T04:16:29.563336+00:00
1774506300|SHORT,1774506300,2026-03-26 02:25:00 ET,2026-03-26 02:25:00 ET,24280.5,2026-03-26,1774506600,2026-03-26 02:30:00 ET,2026-03-26 02:30:00 ET,24276.25,2026-03-26,SHORT,1,5.0,24305.5,-170.0,20.0,500.0,signal_flat,0.16999999999999998,0.16999999999999998,85.0,85.0,61.60280481914761,30801.40240957382,WIN,2026-03-30T04:16:29.563353+00:00
1774514700|SHORT,1774514700,2026-03-26 04:45:00 ET,2026-03-26 04:45:00 ET,24166.0,2026-03-26,1774515300,2026-03-26 04:55:00 ET,2026-03-26 04:55:00 ET,24191.0,2026-03-26,SHORT,2,10.0,24191.0,-735.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,60.60280481914761,30301.40240957382,LOSS,2026-03-30T04:16:29.563395+00:00
1774515300|SHORT,1774515300,2026-03-26 04:55:00 ET,2026-03-26 04:55:00 ET,24194.5,2026-03-26,1774517100,2026-03-26 05:25:00 ET,2026-03-26 05:25:00 ET,24151.75,2026-03-26,SHORT,6,30.0,24219.5,-65.0,20.0,500.0,signal_flat,1.71,1.71,855.0,855.0,62.31280481914761,31156.40240957382,WIN,2026-03-30T04:16:29.563428+00:00
1774519200|SHORT,1774519200,2026-03-26 06:00:00 ET,2026-03-26 06:00:00 ET,24162.0,2026-03-26,1774519500,2026-03-26 06:05:00 ET,2026-03-26 06:05:00 ET,24187.0,2026-03-26,SHORT,1,5.0,24187.0,-685.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,61.31280481914761,30656.40240957382,LOSS,2026-03-30T04:16:29.563449+00:00
1774519500|SHORT,1774519500,2026-03-26 06:05:00 ET,2026-03-26 06:05:00 ET,24176.25,2026-03-26,1774520700,2026-03-26 06:25:00 ET,2026-03-26 06:25:00 ET,24201.25,2026-03-26,SHORT,4,20.0,24201.25,-520.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,60.31280481914761,30156.40240957382,LOSS,2026-03-30T04:16:29.563473+00:00
1774520700|SHORT,1774520700,2026-03-26 06:25:00 ET,2026-03-26 06:25:00 ET,24196.25,2026-03-26,1774521300,2026-03-26 06:35:00 ET,2026-03-26 06:35:00 ET,24159.0,2026-03-26,SHORT,2,10.0,24221.25,-115.0,20.0,500.0,signal_flat,1.49,1.49,745.0,745.0,61.80280481914761,30901.40240957382,WIN,2026-03-30T04:16:29.563494+00:00
1774539000|SHORT,1774539000,2026-03-26 11:30:00 ET,2026-03-26 11:30:00 ET,24063.0,,1774556100,2026-03-26 16:15:00 ET,2026-03-26 16:15:00 ET,23902.5,,SHORT,56,,,,,,,0.641399152625155,0.641399152625155,320.6995763125775,320.6995763125775,62.444203971772765,31222.1019858864,WIN,2026-03-30T02:38:12.518568+00:00
1774588200|LONG,1774588200,2026-03-27 01:10:00 ET,2026-03-27 01:10:00 ET,23971.5,,1774599000,2026-03-27 04:10:00 ET,2026-03-27 04:10:00 ET,23830.0,,LONG,35,,,,,,,-0.6151504693823195,-0.6151504693823195,-307.5752346911598,-307.5752346911598,61.829053502390444,30914.526751195237,LOSS,2026-03-30T02:38:12.518604+00:00
1774596600|SHORT,1774596600,2026-03-27 03:30:00 ET,2026-03-27 03:30:00 ET,23864.25,2026-03-27,1774597500,2026-03-27 03:45:00 ET,2026-03-27 03:45:00 ET,23889.25,2026-03-27,SHORT,3,15.0,23889.25,-590.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,60.829053502390444,30414.526751195237,LOSS,2026-03-30T04:16:29.563733+00:00
1774597500|SHORT,1774597500,2026-03-27 03:45:00 ET,2026-03-27 03:45:00 ET,23885.5,2026-03-27,1774598700,2026-03-27 04:05:00 ET,2026-03-27 04:05:00 ET,23830.25,2026-03-27,SHORT,4,20.0,23910.5,-240.0,20.0,500.0,signal_flat,2.21,2.21,1105.0,1105.0,63.039053502390445,31519.526751195237,WIN,2026-03-30T04:16:29.563760+00:00
1774598700|SHORT,1774598700,2026-03-27 04:05:00 ET,2026-03-27 04:05:00 ET,23830.0,,1774615500,2026-03-27 08:45:00 ET,2026-03-27 08:45:00 ET,23634.0,,SHORT,55,,,,,,,0.8018055364993337,0.8018055364993337,400.90276824966685,400.90276824966685,63.840859038889775,31920.429519444904,WIN,2026-03-30T02:38:12.518627+00:00
1774600800|SHORT,1774600800,2026-03-27 04:40:00 ET,2026-03-27 04:40:00 ET,23796.5,2026-03-27,1774602900,2026-03-27 05:15:00 ET,2026-03-27 05:15:00 ET,23767.0,2026-03-27,SHORT,7,35.0,23821.5,-200.0,20.0,500.0,signal_flat,1.18,1.18,590.0,590.0,65.02085903888978,32510.429519444904,WIN,2026-03-30T04:16:29.563800+00:00
1774611900|SHORT,1774611900,2026-03-27 07:45:00 ET,2026-03-27 07:45:00 ET,23675.75,2026-03-27,1774614000,2026-03-27 08:20:00 ET,2026-03-27 08:20:00 ET,23648.0,2026-03-27,SHORT,7,35.0,23700.75,-285.0,20.0,500.0,signal_flat,1.11,1.11,555.0,555.0,66.13085903888978,33065.42951944491,WIN,2026-03-30T04:16:29.563861+00:00
1774616700|SHORT,1774616700,2026-03-27 09:05:00 ET,2026-03-27 09:05:00 ET,23592.25,,1774639200,2026-03-27 15:20:00 ET,2026-03-27 15:20:00 ET,23353.75,,SHORT,74,,,,,,,0.9859943361502532,0.9859943361502532,492.99716807512664,492.99716807512664,67.11685337504004,33558.426687520034,WIN,2026-03-30T02:38:12.518657+00:00
1774640400|SHORT,1774640400,2026-03-27 15:40:00 ET,2026-03-27 15:40:00 ET,23313.25,,1774644900,2026-03-27 16:55:00 ET,2026-03-27 16:55:00 ET,23275.5,,SHORT,14,,,,,,,0.13689085753740837,0.13689085753740837,68.44542876870419,68.44542876870419,67.25374423257745,33626.87211628874,WIN,2026-03-30T02:38:12.518669+00:00
1774822200|SHORT,1774822200,2026-03-29 18:10:00 ET,2026-03-29 18:10:00 ET,23195.0,2026-03-30,1774822800,2026-03-29 18:20:00 ET,2026-03-29 18:20:00 ET,23220.0,2026-03-30,SHORT,2,10.0,23220.0,-945.0,20.0,500.0,loss_cap,-1.0,-1.0,-500.0,-500.0,66.25374423257745,33126.87211628874,LOSS,2026-03-30T04:16:29.563975+00:00
1774822800|SHORT,1774822800,2026-03-29 18:20:00 ET,2026-03-29 18:20:00 ET,23221.0,2026-03-30,1774824000,2026-03-29 18:40:00 ET,2026-03-29 18:40:00 ET,23173.5,2026-03-30,SHORT,4,20.0,23246.0,-355.0,20.0,500.0,signal_flat,1.9,1.9,950.0,950.0,68.15374423257745,34076.87211628874,WIN,2026-03-30T04:16:29.564003+00:00
